                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5225,                 2.0911,                 1.6741,                0.51553,                0.21338,                0.15097,                0.07445,                 1.7834,                 2.5315,                 1.8802,             0.00047351,             0.00047351,             0.00047351
                      2,                  1.547,                 1.8183,                 1.7049,                0.51439,                0.19489,                0.12574,                0.05864,                 1.8178,                 2.1633,                 1.9905,             0.00094044,             0.00094044,             0.00094044
                      3,                 1.5463,                 1.8015,                 1.7175,                0.44373,                0.16229,                0.10222,                0.04055,                 1.9556,                 2.3353,                 2.0466,              0.0013979,              0.0013979,              0.0013979
                      4,                 1.5179,                 1.7832,                  1.703,                0.41002,                0.34636,                0.23043,                0.12849,                 1.6435,                 2.1292,                 1.7886,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4909,                 1.7055,                 1.6648,                0.44905,                0.32028,                0.21625,                0.10813,                  1.688,                 1.9796,                 1.8195,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.4439,                 1.6396,                 1.6484,                0.50274,                0.27928,                0.18967,                0.09523,                 1.6191,                 1.7988,                 1.7784,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.4209,                 1.5967,                 1.6351,                0.50483,                0.38519,                 0.3597,                0.22079,                 1.6062,                 1.6639,                 1.7605,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.4094,                 1.5691,                 1.6194,                0.35823,                0.54151,                0.33697,                 0.1922,                 1.5889,                 1.7322,                 1.7513,                0.00133,                0.00133,                0.00133
                      9,                 1.3705,                 1.5209,                 1.5953,                0.43943,                0.41991,                0.32768,                 0.1958,                 1.6431,                  1.683,                 1.8205,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.3465,                 1.4711,                 1.5822,                 0.5575,                0.41567,                0.40576,                0.21874,                 1.5796,                 1.6646,                 1.7138,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.3406,                 1.4358,                 1.5683,                0.60604,                0.47809,                0.45126,                0.25718,                 1.5394,                 1.4904,                 1.7069,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.3318,                 1.4382,                 1.5546,                0.43207,                0.49399,                0.35748,                0.19876,                 1.5554,                 1.8077,                 1.7262,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.3063,                 1.3769,                 1.5355,                 0.5876,                0.26032,                0.24923,                0.13492,                 1.5382,                 1.5461,                   1.74,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.3064,                 1.3803,                 1.5364,                0.40286,                0.41369,                0.37126,                0.24817,                  1.554,                 1.7346,                   1.69,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2866,                 1.3498,                 1.5181,                 0.4844,                0.45407,                0.40455,                0.19578,                 1.4875,                 1.5249,                 1.6637,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.2863,                 1.3498,                 1.5163,                0.60575,                 0.2807,                0.25389,                0.14225,                 1.5402,                 1.5616,                 1.7303,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.2742,                 1.2991,                 1.5109,                0.55827,                0.37095,                0.35824,                0.22261,                 1.6012,                 1.6229,                 1.7892,              0.0012026,              0.0012026,              0.0012026
                     18,                  1.278,                 1.3023,                   1.51,                0.36468,                0.40647,                0.40046,                0.25348,                 1.5065,                 1.4964,                 1.6672,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.2703,                 1.2975,                  1.512,                0.71644,                0.37012,                0.43453,                0.28869,                 1.4726,                 1.4479,                  1.659,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.2592,                 1.2436,                 1.5001,                 0.5598,                 0.3935,                0.38593,                0.26283,                 1.4999,                   1.46,                 1.6906,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.2319,                 1.2323,                 1.4772,                0.32259,                0.46507,                0.30358,                0.17352,                 1.5209,                 1.5172,                 1.7606,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.2249,                 1.2347,                 1.4789,                0.46006,                0.46104,                0.39456,                0.22036,                 1.5127,                 1.5443,                 1.6993,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.2225,                 1.2137,                 1.4772,                0.48255,                0.50834,                0.40063,                0.23987,                 1.5138,                  1.498,                 1.6886,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.2049,                 1.1933,                 1.4596,                0.36739,                0.50285,                0.36334,                0.20697,                 1.5245,                 1.6032,                 1.7196,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.2147,                 1.1974,                 1.4687,                0.25749,                0.25106,                0.23578,                0.13783,                 1.5714,                 1.7587,                  1.764,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1946,                 1.1612,                 1.4505,                0.42835,                0.42983,                0.38729,                0.26333,                 1.4938,                 1.4908,                 1.6943,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.1946,                 1.1722,                 1.4438,                0.57161,                0.37426,                0.39622,                0.24531,                 1.5144,                 1.4399,                 1.6877,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.1716,                 1.1304,                 1.4307,                0.42179,                0.38469,                0.40263,                0.20408,                   1.52,                  1.504,                 1.6955,               0.001047,               0.001047,               0.001047
                     29,                 1.1921,                 1.1272,                 1.4392,                0.70943,                0.33894,                0.36938,                0.22943,                 1.5324,                  1.635,                 1.7309,              0.0010329,              0.0010329,              0.0010329
